Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Liabilities,Year
Kirtivardhan Singh,GONDA,BJP,3,Post Graduate,370796430,11941662,2024
Dr. Alok Kumar Suman,GOPALGANJ (SC),JD(U),0,Post Graduate,0,0,2024
Ravindra Shukla Alias Ravi Kishan,GORAKHPUR,BJP,0,12th Pass,433235340,17814634,2024
Radhakrishna,GULBARGA (SC),INC,1,10th Pass,533899960,72386247,2024
Jyotiraditya M. Scindia,GUNA,BJP,0,Post Graduate,4247494078,4824000,2024
Dr Chandra Sekhar Pemmasani,GUNTUR,TDP,1,Post Graduate,57054727538,10380000000,2024
Sukhjinder Singh Randhawa,GURDASPUR,INC,0,12th Pass,0,0,2024
Rao Inderjit Singh,GURGAON,BJP,0,Graduate Professional,1215422868,133670844,2024
Bijuli Kalita Medhi,GUWAHATI,BJP,0,Post Graduate,16189751,0,2024
Bharat Singh Kushwah,GWALIOR,BJP,0,12th Pass,28809530,6276267,2024
Chirag Paswan,HAJIPUR (SC),Lok Janshakti Party(Ram Vilas),0,12th Pass,26875873,0,2024
Anurag Singh Thakur,HAMIRPUR,BJP,1,Graduate,0,0,2024
Ajendra Singh Lodhi,HAMIRPUR,SP,0,12th Pass,50237175,7485000,2024
Jai Prakash,HARDOI (SC),BJP,0,Graduate,303974608,52512656,2024
Trivendra Singh Rawat,HARIDWAR,BJP,0,Post Graduate,67552039,7500000,2024
Shreyas. M. Patel,HASSAN,INC,1,Graduate,426710045,8880873,2024
Anoop Pradhan Balmiki,HATHRAS (SC),BJP,1,12th Pass,0,0,2024
Dhairyasheel Sambhajirao Mane,HATKANANGALE,Shiv Sena,0,Graduate,45131759,10000000,2024
Basavaraj Bommai,HAVERI,BJP,0,Graduate Professional,539504552,54634074,2024
Manish Jaiswal,HAZARIBAGH,BJP,2,Graduate,362999932,58896276,2024
B K Parthasarathi,HINDUPUR,TDP,15,Graduate,168959895,17890470,2024
Aashtikar Patil Nagesh Bapurao,HINGOLI,ShivSena (Uddhav Balasaheb Thackeray),0,Graduate,0,0,2024
Jai Parkash (J P) S/O Harikesh,HISAR,INC,0,12th Pass,68053567,13194392,2024
Rachna Banerjee,HOOGHLY,AITC,0,12th Pass,355317030,0,2024
Darshan Singh Choudhary,HOSHANGABAD,BJP,0,Post Graduate,9349061,0,2024
Dr. Raj Kumar Chabbewal,HOSHIARPUR (SC),AAP,0,Post Graduate,207695398,84402704,2024
Prasun Banerjee,HOWRAH,AITC,1,Graduate,0,0,2024
Asaduddin Owaisi,HYDERABAD,All India Majlis-E-Ittehadul Muslimeen,5,Graduate Professional,238766044,70500000,2024
Adv. Dean Kuriakose,IDUKKI,INC,88,Post Graduate,20797763,3619970,2024
