candidate_name,party,age,state,criminal_cases,education,total_assets,liabilities,year
Lakshmi Reddy Putha,Rajyadhikara Party,32.0,Andhra Pradesh,3,Graduate Professional,7300000,0,2019
Lavu Sri Krishna Devarayalu,YSRCP,36.0,Andhra Pradesh,0,Graduate Professional,177710073,10142413,2019
Lingala Chiranjeevi,Andhra Chaitanya Party,28.0,Andhra Pradesh,0,12th Pass,0,0,2019
Lingutla Rangaiah,IND,70.0,Andhra Pradesh,0,5th Pass,208000,40000,2019
Lurthu Meri Daila,Mundadugu Praja Party,43.0,Andhra Pradesh,0,12th Pass,50000,0,2019
M V V Satyanarayana,YSRCP,52.0,Andhra Pradesh,1,10th Pass,2030885624,160030959,2019
M. Naganna,SUCI(C),66.0,Andhra Pradesh,1,Illiterate,444500,15000,2019
M. Solomon,Andhra Rastra Praja Samithi,65.0,Andhra Pradesh,0,Graduate Professional,0,0,2019
M.Shajahan Basha,INC,48.0,Andhra Pradesh,2,10th Pass,27400500,5600000,2019
M.Venkatesulu,Pyramid Party of India,49.0,Andhra Pradesh,0,10th Pass,2345567,312273,2019
Madabathula Chandra Sekhar,Pyramid Party of India,31.0,Andhra Pradesh,0,10th Pass,160000,0,2019
Madhu Yattapu,IND,33.0,Andhra Pradesh,0,Graduate,2800000,900000,2019
Maganti Venkateswara Rao,TDP,59.0,Andhra Pradesh,1,10th Pass,0,0,2019
Magunta Sreenivasulu Reddy,YSRCP,65.0,Andhra Pradesh,0,Graduate,266583686,91302133,2019
Mallipudi Sri Ramachandra Murthy,INC,66.0,Andhra Pradesh,0,5th Pass,3995000,595000,2019
Malyadri Sriram,TDP,65.0,Andhra Pradesh,0,Post Graduate,42520353,598794,2019
Mandra Sivananda Reddy,TDP,57.0,Andhra Pradesh,0,Graduate Professional,348903562,68693655,2019
Manepalli Ayyaji Vema,BJP,59.0,Andhra Pradesh,0,Graduate Professional,0,0,2019
Mannava Hariprasad,CPI(ML) Red Star,55.0,Andhra Pradesh,0,Graduate Professional,14668071,107102,2019
Maram Srinivasa Reddy,Praja Shanthi Party,27.0,Andhra Pradesh,0,Post Graduate,52197,0,2019
Margani Bharat Ram,YSRCP,36.0,Andhra Pradesh,2,Graduate Professional,458205360,17814757,2019
Mathe Bobby,RPI(A),29.0,Andhra Pradesh,0,12th Pass,10000,0,2019
Matta Satish Chakravarthy,Pyramid Party of India,37.0,Andhra Pradesh,0,Post Graduate,0,0,2019
Meda Malla Reddy,IND,68.0,Andhra Pradesh,0,5th Pass,1640000,0,2019
Meda Srinivasa Rao,Rashtriya Praja Congress (Secular),50.0,Andhra Pradesh,2,Post Graduate,35830000,400000,2019
Medapati Varahala Reddy,IND,44.0,Andhra Pradesh,0,10th Pass,26680000,1300000,2019
Medisetti Vijaya Kumar,IND,53.0,Andhra Pradesh,8,12th Pass,46243484,11358500,2019
Mendem Santhosh Kumar,IND,46.0,Andhra Pradesh,0,Others,0,0,2019
Metta Ramarao,Janasena Party,53.0,Andhra Pradesh,0,Post Graduate,63385326,0,2019
Mitta Parthasarathi,BJP,60.0,Andhra Pradesh,2,Graduate,357849990,106820000,2019
Modugula Venugopala Reddy,YSRCP,52.0,Andhra Pradesh,3,Graduate Professional,137466129,1675274,2019
Mohammad Ishaq,IND,47.0,Andhra Pradesh,0,12th Pass,5276961,512010,2019
Mohan Ayyappa,IND,29.0,Andhra Pradesh,0,Post Graduate,0,0,2019
Mojas Raja Sekhar Duggirala,Janasena Party,59.0,Andhra Pradesh,1,Post Graduate,28930012,0,2019
Mortha Sivarama Krishna,Pyramid Party of India,29.0,Andhra Pradesh,0,Graduate,0,0,2019
Mugi Surya Prakash,IND,63.0,Andhra Pradesh,0,Graduate,43266800,0,2019
Mukka Sreenivasa Rao,Janasena Party,39.0,Andhra Pradesh,0,10th Pass,13428596,0,2019
Mukram Syed,Janasena Party,42.0,Andhra Pradesh,0,10th Pass,0,0,2019
Muralikrishna Kanderi,India Praja Bandhu Party,41.0,Andhra Pradesh,0,Others,12796,0,2019
Muttamasetty Lakshmana Siva Prasad Babu,Janasena Party,66.0,Andhra Pradesh,0,Post Graduate,33169811,137447,2019
N. Reddeppa,YSRCP,68.0,Andhra Pradesh,0,Post Graduate,17355862,1341542,2019
N.Kristappa,TDP,63.0,Andhra Pradesh,4,Graduate,51375301,1011804,2019
Nadakuditi Naga Gayathri,IND,38.0,Andhra Pradesh,0,Post Graduate,0,0,2019
Nagababu Konidela,Janasena Party,58.0,Andhra Pradesh,0,Graduate Professional,367820773,21678798,2019
Naidugari Rajasekhar,IND,35.0,Andhra Pradesh,0,Post Graduate,41500,0,2019
Nallam Surya Chandra Rao,Pyramid Party of India,59.0,Andhra Pradesh,0,Graduate,20935000,898000,2019
Nalli Rajesh,IND,36.0,Andhra Pradesh,6,10th Pass,3239775,2362420,2019
Nalluri Vijaya Srinivasa Rao,INC,55.0,Andhra Pradesh,0,12th Pass,0,0,2019
Namballa Krishna Mohan,IND,44.0,Andhra Pradesh,1,Graduate,707000,500000,2019
Nandini Nallaghatla,IND,43.0,Andhra Pradesh,0,Post Graduate,509343,409343,2019
Naraharisetty Narasimha Rao,INC,58.0,Andhra Pradesh,1,Graduate Professional,19342702,6788257,2019
Naramalli Siva Prasad,TDP,68.0,Andhra Pradesh,0,Graduate Professional,69628816,0,2019
Narasapuram Prasad,IND,50.0,Andhra Pradesh,0,Others,0,0,2019
Narasimharao Parimi,IND,31.0,Andhra Pradesh,1,Illiterate,451000,0,2019
Narava Satyavathi,IND,37.0,Andhra Pradesh,0,10th Pass,964000,0,2019
Naresh Kumar Poojala,IND,25.0,Andhra Pradesh,0,Others,73786,0,2019
"Neeruguttu Nagesh, M.A., Philosophy",Janapaalana Party (Democratic),32.0,Andhra Pradesh,0,Post Graduate,1338000,180000,2019
Nuthakki Rama Rao,All India Praja Party,71.0,Andhra Pradesh,0,Post Graduate,0,0,2019
Nyamatulla Shaik,IND,31.0,Andhra Pradesh,0,Graduate,4909000,1000000,2019
P. Ramachandran,IND,42.0,Andhra Pradesh,0,Graduate Professional,3580500,2313000,2019
P.S.Ajay Kumar,CPI(ML)(L),57.0,Andhra Pradesh,3,Post Graduate,1258000,0,2019
P.V. Parthasarathi,BJP,48.0,Andhra Pradesh,0,Post Graduate,297510890,62328052,2019
P.V. Srihari,IND,51.0,Andhra Pradesh,0,Doctorate,0,0,2019
P.V.Midhun Reddy,YSRCP,42.0,Andhra Pradesh,3,Post Graduate,665085701,205473477,2019
Padchuri Radha Krishna,Radical Democrats Party,40.0,Andhra Pradesh,0,Graduate,1045000,0,2019
Pakkala Suribabu,INC,60.0,Andhra Pradesh,1,Post Graduate,74537563,19126000,2019
Pallipattu. Abhinav Vishnu,Mundadugu Praja Party,27.0,Andhra Pradesh,0,Graduate Professional,92600,0,2019
Panabaka Lakshmi,TDP,60.0,Andhra Pradesh,0,Doctorate,0,0,2019
Panthagada Vijaya Chakravarthy,RPI(Khobragade),65.0,Andhra Pradesh,0,Post Graduate,550000,0,2019
Paravasthu Satya Gopinath Das,BJP,48.0,Andhra Pradesh,0,12th Pass,3939990,0,2019
Pasupuleti Venkataramana,IND,42.0,Andhra Pradesh,0,Post Graduate,595000,0,2019
Pedada Ramanikumari,INC,48.0,Andhra Pradesh,0,Post Graduate,117936000,0,2019
Pedakala Varalakshmi,Pyramid Party of India,43.0,Andhra Pradesh,0,Graduate Professional,0,0,2019
Peddimsetti Venkateswara Rao,Jana Jagruti Party,46.0,Andhra Pradesh,2,12th Pass,23742000,0,2019
Pentapati Rajesh,IND,39.0,Andhra Pradesh,0,Others,50000,16000,2019
Peram Siva Nageswara Rao,RPI(A),51.0,Andhra Pradesh,0,8th Pass,32000000,1000000,2019
Perla Samba Murthy,BJP,58.0,Andhra Pradesh,0,Post Graduate,375199993,120000000,2019
Pocha Brahmananda Reddy,YSRCP,60.0,Andhra Pradesh,1,Post Graduate,0,0,2019
Poluru Guruvaiah,IND,30.0,Andhra Pradesh,0,Illiterate,50000,0,2019
Pothuru Rangaiah,IND,48.0,Andhra Pradesh,0,8th Pass,1509000,130000,2019
Prasad Veera Potluri,YSRCP,48.0,Andhra Pradesh,1,Post Graduate,3477616326,209577562,2019
Pula. Nagamaddilety,Ambedkar National Congress,40.0,Andhra Pradesh,0,10th Pass,50000,0,2019
Pulapaka Raja Sekhar,IND,41.0,Andhra Pradesh,0,Graduate,0,0,2019
Pydikondala Manikyala Rao,BJP,58.0,Andhra Pradesh,3,12th Pass,22392505,1242976,2019
R. Udaya Gowri,IND,44.0,Andhra Pradesh,0,Illiterate,6110000,5543000,2019
Rajani Chelle,Jana Jagruti Party,30.0,Andhra Pradesh,0,Graduate,261767,0,2019
Ramamohan D.G.,IND,51.0,Andhra Pradesh,0,12th Pass,447500,0,2019
Ramarao Simhadri,Praja Shanthi Party,41.0,Andhra Pradesh,0,5th Pass,0,0,2019
Rammohannaidu Kinjarapu,TDP,32.0,Andhra Pradesh,1,Post Graduate,122791042,12000000,2019
Ramu Naidu Yijurothu,IND,47.0,Andhra Pradesh,0,10th Pass,100000,0,2019
Rayapati Sambasiva Rao,TDP,75.0,Andhra Pradesh,0,Graduate,437940180,1233171,2019
