Sno,Candidate,Constituency ∇,Party,Criminal Case,Education,Total Assets,Liabilities
317,Bholanath (B.P. Saroj),MACHHLISHAHR,BJP,0,Graduate,"Rs 25,90,27,394  ~ 25 Crore+","Rs 1,11,94,163  ~ 1 Crore+"
318,Balashowry Vallabhaneni,MACHILIPATNAM,YSRCP,2,Post Graduate,"Rs 99,05,75,840  ~ 99 Crore+","Rs 74,63,10,844  ~ 74 Crore+"
319,Ranjeetsinha Hindurao Naik Nimbalkar,MADHA,BJP,2,12th Pass,"Rs 1,27,51,60,578  ~ 127 Crore+","Rs 89,63,15,287  ~ 89 Crore+"
320,Dinesh Chandra Yadav,MADHEPURA,JD(U),1,Graduate Professional,,
321,Ashok Kumar Yadav,MADHUBANI,BJP,1,Doctorate,"Rs 4,66,99,125  ~ 4 Crore+","Rs 78,92,847  ~ 78 Lacs+"
322,Venkatesan S,MADURAI,CPI(M),0,12th Pass,"Rs 18,11,456  ~ 18 Lacs+",Rs 0  ~
323,Kavitha Malothu,MAHABUBABAD,TRS,1,Graduate,"Rs 1,97,31,269  ~ 1 Crore+","Rs 12,52,068  ~ 12 Lacs+"
324,Janardan Singh Sigriwal,MAHARAJGANJ,BJP,5,Graduate,"Rs 1,04,51,986  ~ 1 Crore+","Rs 3,76,000  ~ 3 Lacs+"
325,Pankaj Choudhary,MAHARAJGANJ,BJP,5,12th Pass,,
326,Chunni Lal Sahu,MAHASAMUND,BJP,0,Graduate,"Rs 1,75,91,683  ~ 1 Crore+","Rs 13,83,014  ~ 13 Lacs+"
327,Manne Srinivas Reddy,MAHBUBNAGAR,TRS,0,12th Pass,"Rs 6,33,53,123  ~ 6 Crore+","Rs 45,69,251  ~ 45 Lacs+"
328,Shardaben Anilbhai Patel,MAHESANA,BJP,0,12th Pass,"Rs 44,03,08,300  ~ 44 Crore+","Rs 74,77,793  ~ 74 Lacs+"
329,Mulayam Singh Yadav,MAINPURI,SP,1,Post Graduate,"Rs 20,56,04,593  ~ 20 Crore+","Rs 2,20,55,657  ~ 2 Crore+"
330,Kunhalikutty,MALAPPURAM,IUML,2,Graduate,,
